1,6,16,1,3
4,2,20,2,2
1,0,12,1,2
1,15,17,1,3
4,7,4,0,1
2,13,19,1,2
0,5,13,1,2
2,13,5,0,1
3,16,14,1,2
4,12,17,1,1
0,5,12,1,2
4,2,18,1,3
4,12,15,1,2
0,3,18,1,3
2,13,19,1,3
4,7,12,1,2
1,0,21,2,1
2,13,11,1,3
1,0,12,1,3
1,6,19,1,3
2,11,21,2,3
1,8,20,2,3
1,6,16,1,3
4,7,14,1,2
4,9,13,1,2
4,2,17,1,3
4,2,3,0,1
4,2,2,0,2
1,8,16,1,3
1,15,11,1,2
0,5,18,1,3
0,1,18,1,2
1,10,23,2,2
4,2,0,0,2
0,3,3,0,1
3,4,15,1,2
4,9,13,1,2
4,9,2,0,1
4,2,18,1,1
3,4,12,1,2
4,12,3,0,3
1,10,11,1,2
3,4,22,2,1
2,14,0,0,2
2,14,1,0,1
1,8,19,1,3
1,8,20,2,2
4,12,15,1,2
2,13,17,1,1
4,12,10,1,3
1,10,17,1,2
2,13,3,0,1
1,15,15,1,3
1,15,20,2,2
0,5,15,1,2
1,8,16,1,3
0,5,14,1,3
1,10,2,0,1
0,3,4,0,1
4,7,22,2,0
1,8,11,1,3
4,7,22,2,1
0,5,17,1,2
4,2,16,1,1
1,10,18,1,2
3,16,16,1,3
0,3,23,2,2
1,15,3,0,3
1,0,2,0,1
2,13,11,1,2
4,12,15,1,3
2,14,17,1,1
1,15,20,2,0
4,9,11,1,2
3,16,23,2,3
4,7,3,0,2
4,12,16,1,3
0,3,22,2,3
1,15,20,2,1
4,2,15,1,2
0,3,21,2,3
4,9,12,1,2
1,0,21,2,2
1,6,17,1,3
1,10,15,1,2
1,10,19,1,2
4,9,17,1,2
0,3,12,1,2
2,11,12,1,2
3,16,0,0,2
1,10,22,2,1
0,3,0,0,3
4,9,12,1,2
4,9,5,0,2
4,7,18,1,3
2,11,5,0,1
0,5,4,0,1
1,10,3,0,0
4,2,0,0,2
2,13,11,1,2
2,14,15,1,2
1,15,21,2,3
0,5,0,0,1
3,16,14,1,2
4,9,16,1,3
1,6,14,1,2
0,5,23,2,2
1,10,12,1,2
4,7,14,1,3
4,2,21,2,3
2,13,15,1,2
1,8,11,1,2
4,7,4,0,1
4,7,16,1,2
3,4,12,1,2
2,13,15,1,2
0,3,15,1,2
4,9,17,1,3
1,15,0,0,1
1,0,0,0,2
2,11,3,0,2
0,1,10,1,2
4,12,20,2,2
4,2,21,2,2
4,12,13,1,2
4,2,15,1,3
1,6,22,2,2
2,11,5,0,1
4,7,12,1,3
1,0,14,1,2
0,5,16,1,2
3,16,0,0,1
4,7,0,0,1
2,14,13,1,2
4,9,17,1,2
3,16,17,1,2
1,15,16,1,3
4,9,19,1,2
1,6,12,1,2
4,7,0,0,1
4,12,20,2,2
1,6,5,0,1
4,7,10,1,2
1,0,21,2,1
4,7,10,1,3
4,9,12,1,2
2,11,17,1,1
2,13,18,1,3
4,2,14,1,2
2,13,23,2,2
0,3,15,1,2
4,2,20,2,3
4,12,14,1,3
4,7,10,1,3
4,7,19,1,3
1,8,10,1,2
4,9,16,1,3
1,0,21,2,3
4,7,11,1,2
3,4,0,0,2
4,9,18,1,3
4,2,3,0,1
1,0,22,2,3
3,4,12,1,2
0,3,11,1,2
2,13,4,0,2
1,0,19,1,2
2,13,20,2,2
0,5,12,1,2
1,10,2,0,1
4,2,3,0,1
0,3,0,0,1
4,2,21,2,1
0,3,16,1,1
1,8,11,1,3
0,3,18,1,2
4,12,5,0,1
1,8,16,1,3
2,11,16,1,0
1,0,0,0,2
4,9,14,1,2
1,0,17,1,3
2,13,17,1,3
2,13,19,1,1
2,13,0,0,2
2,14,15,1,2
1,0,20,2,1
1,0,21,2,2
4,9,21,2,2
2,14,3,0,3
1,15,22,2,2
